city,lat,lon,temp,humidity,wind,cloudiness,country
Ancud,-41.87,-73.82,51.89,64,5.35,79,CL
Tessalit,20.2,1.01,86.52,42,17.98,51,ML
Avarua,-21.21,-159.78,71.6,88,10.29,100,CK
Dondo,-19.61,34.74,71.6,73,13.87,20,MZ
Libreville,0.39,9.45,77.0,78,6.93,20,GA
Port Elizabeth,-33.92,25.57,57.2,93,10.29,20,ZA
Tasiilaq,65.61,-37.64,42.8,81,9.17,75,GL
Alice Town,25.72,-79.3,84.56,73,11.74,84,BS
Qaryat Sulūq,31.67,20.25,77.83,50,18.88,0,LY
Fairmont,39.49,-80.14,81.0,46,5.84,0,US
Thompson,55.74,-97.86,57.2,54,9.17,40,CA
Belmonte,-15.86,-38.88,78.8,65,9.17,40,BR
Santa Rosa,14.31,121.11,84.2,83,2.24,54,PH
Javorník,50.39,17.0,62.01,68,1.01,92,CZ
Morant Bay,17.88,-76.41,87.8,70,23.04,20,JM
Yantal',56.85,105.25,52.57,82,11.65,100,RU
Beloha,-25.17,45.05,63.55,70,15.12,5,MG
Kefamenanu,-9.45,124.48,68.2,90,3.67,94,ID
Yerbogachën,61.28,108.01,53.91,91,8.1,43,RU
Katsuura,35.13,140.3,80.01,92,1.99,2,JP
Ketchikan,55.34,-131.65,57.2,93,10.29,75,US
New Norfolk,-42.78,147.06,44.01,75,2.57,46,AU
Nurota,40.56,65.69,73.4,23,4.7,47,UZ
Bubaque,11.28,-15.83,76.6,87,20.54,99,GW
Northam,51.03,-4.22,62.01,80,5.99,16,GB
Tuktoyaktuk,69.45,-133.04,37.4,75,9.17,90,CA
Olafsvik,64.89,-23.71,48.36,62,10.02,11,IS
Vitim,59.45,112.56,55.36,81,3.02,0,RU
Cape Town,-33.93,18.42,55.99,82,16.11,75,ZA
Port Hardy,50.7,-127.42,59.0,93,2.24,90,CA
Huilong,31.81,121.66,78.01,82,10.47,0,CN
Butaritari,3.07,172.79,82.65,75,13.67,13,KI
Yulara,-25.24,130.99,64.4,20,8.05,0,AU
Cherskiy,68.75,161.3,36.41,79,8.5,0,RU
Lagos,6.58,3.75,75.79,84,8.43,95,NG
Bermeo,43.42,-2.72,71.01,77,8.05,75,ES
Nikolskoye,59.7,30.79,61.0,77,4.47,74,RU
Valentín Gómez Farías,28.22,-106.58,75.13,50,19.66,12,MX
Kurikka,62.62,22.42,57.0,76,4.7,40,FI
Atuona,-9.8,-139.03,79.07,77,25.17,12,PF
Beringovskiy,63.05,179.32,45.66,73,7.58,100,RU
Paramonga,-10.67,-77.83,65.89,67,11.3,53,PE
São Félix do Xingu,-6.64,-51.99,105.8,13,3.47,84,BR
Daru,-9.08,143.21,76.73,87,15.5,100,PG
Marsá Maţrūḩ,31.35,27.25,78.31,66,13.27,0,EG
Khorixas,-20.37,14.97,66.09,34,11.3,0,NA
Torbay,47.67,-52.73,78.01,69,21.92,90,CA
Pacific Grove,36.62,-121.92,75.2,56,4.7,1,US
Karratha,-20.74,116.85,68.43,71,6.93,79,AU
Praia da Vitória,38.73,-27.07,75.0,64,22.84,75,PT
Sistranda,63.73,8.83,57.2,67,4.7,40,NO
Castro,-24.79,-50.01,80.83,37,9.06,53,BR
Labuhan,-6.88,112.21,77.25,80,10.92,12,ID
Waitati,-45.75,170.57,48.99,71,4.0,96,NZ
Beni Mazar,28.5,30.8,92.21,36,24.07,0,EG
Namatanai,-3.67,152.43,79.39,79,6.46,45,PG
Jumla,29.27,82.18,59.02,70,1.57,20,NP
Lebu,-37.62,-73.65,53.51,70,7.11,56,CL
Aurād,18.25,77.43,79.07,74,2.46,61,IN
Sambava,-14.27,50.17,70.05,73,16.98,2,MG
Krasnokamensk,50.1,118.04,51.42,87,2.59,2,RU
Iqaluit,63.75,-68.51,55.4,28,6.93,20,CA
Loandjili,-4.76,11.86,77.0,78,9.17,40,CG
Bay Roberts,47.6,-53.26,77.0,1,16.6,74,CA
São Miguel dos Campos,-9.78,-36.09,80.6,61,13.87,40,BR
Tiksi,71.69,128.87,43.27,96,11.05,100,RU
Tabuk,17.42,121.44,74.08,87,2.46,58,PH
Upernavik,72.79,-56.15,35.31,80,14.27,37,GL
Saint-Philippe,-21.36,55.77,66.2,88,10.29,75,RE
Marabu,4.41,114.01,77.0,100,3.36,40,MY
Yangi Marg`ilon,40.43,71.72,73.4,31,4.7,0,UZ
Mar del Plata,-38.0,-57.56,50.0,71,13.87,75,AR
Chimbote,-9.09,-78.58,66.34,68,13.29,41,PE
Provideniya,64.38,-173.3,41.29,77,5.37,100,RU
Aklavik,68.22,-135.01,33.8,68,6.93,90,CA
Esperance,-33.87,121.9,53.6,71,9.17,35,AU
Khatanga,71.97,102.5,36.52,82,8.23,81,RU
Sur,22.57,59.53,80.82,71,12.03,0,OM
Faanui,-16.48,-151.75,77.9,77,12.01,34,PF
Rawson,-43.3,-65.1,56.88,40,18.32,32,AR
Dunedin,-45.87,170.5,48.99,49,1.01,96,NZ
Terme,41.21,36.97,73.4,73,3.36,75,TR
Buala,-8.14,159.59,79.65,83,8.61,48,SB
Kavaratti,10.57,72.64,83.35,78,3.62,92,IN
Iralaya,15.0,-83.23,77.0,100,7.31,75,HN
Belawan,3.78,98.68,77.9,85,2.77,91,ID
Jacareacanga,-6.22,-57.75,104.38,16,4.25,86,BR
Biankouma,7.74,-7.61,73.44,93,3.04,88,CI
Beidao,34.57,105.89,59.63,77,1.48,46,CN
Hamilton,39.18,-84.53,82.0,41,9.17,1,US
Lima,-12.04,-77.03,62.6,72,4.7,90,PE
Pangnirtung,66.15,-65.71,46.4,65,12.75,20,CA
Kununurra,-15.77,128.73,69.8,49,4.7,59,AU
Muros,42.78,-9.06,71.01,70,11.01,1,ES
Port Alfred,-33.59,26.89,63.25,76,7.56,87,ZA
Clyde River,70.47,-68.59,39.2,80,23.04,75,CA
Okhotsk,59.38,143.3,50.54,88,7.25,100,RU
Ahipara,-35.17,173.17,54.28,76,9.62,99,NZ
San Policarpo,12.18,125.51,79.83,85,5.1,100,PH
East London,-33.02,27.91,59.0,93,6.93,40,ZA
Grindavik,63.84,-22.43,51.8,50,11.41,75,IS
Norman Wells,65.28,-126.83,46.4,70,2.24,75,CA
Henties Bay,-22.12,14.28,59.0,78,8.99,3,NA
Westerland,54.91,8.3,59.0,62,14.99,38,DE
Poum,-20.23,164.02,69.17,74,13.47,12,NC
Dawlatabad,36.41,64.91,72.99,21,2.71,0,AF
Sena Madureira,-9.07,-68.66,97.14,33,3.18,25,BR
Alamosa,37.47,-105.87,75.99,25,6.93,1,US
Kruisfontein,-34.0,24.73,57.99,87,1.99,100,ZA
Yining,29.04,114.56,68.4,85,1.12,50,CN
Skjervøy,70.03,20.97,50.45,94,2.93,100,NO
Umm Hājar,13.3,19.7,86.86,55,5.23,29,TD
Carnarvon,-24.87,113.63,64.4,100,13.87,75,AU
Batagay-Alyta,67.8,130.41,42.3,78,2.53,55,RU
Buchach,49.06,25.39,69.01,53,3.0,5,UA
Camacha,33.08,-16.33,73.4,78,14.99,40,PT
Caucaia,-3.74,-38.65,84.2,54,16.11,5,BR
Paamiut,61.99,-49.67,46.26,96,28.77,100,GL
Pelym,61.01,62.0,51.1,67,2.51,77,RU
Puerto Nariño,-3.77,-70.38,87.8,84,3.36,40,CO
Hobart,-42.88,147.33,46.4,70,6.93,40,AU
Itarema,-2.92,-39.92,84.27,56,20.83,28,BR
Soe,-9.86,124.28,62.8,89,4.92,80,ID
City of San Pedro,14.35,121.02,84.2,83,2.24,53,PH
Anju,39.62,125.66,65.23,80,3.96,94,KP
Kahului,20.89,-156.47,78.8,65,14.99,40,US
Río Gallegos,-51.62,-69.22,48.2,49,6.93,40,AR
Zaozyornoye,45.16,33.28,68.7,75,7.47,100,UA
Podosinovets,60.28,47.07,53.78,90,6.11,100,RU
Chui,-33.7,-53.46,56.89,63,9.75,6,UY
Manzanillo,20.34,-77.12,89.67,55,5.06,0,CU
Mulegé,26.88,-111.98,97.09,40,12.75,0,MX
Alice Springs,-23.7,133.88,57.2,24,6.93,0,AU
Kalundborg,55.68,11.09,59.0,82,3.36,8,DK
Vao,-22.67,167.48,69.49,73,21.61,52,NC
Barrow,71.29,-156.79,39.2,93,4.7,90,US
Cartagena del Chairá,1.33,-74.84,91.51,51,0.83,30,CO
Airai,-8.93,125.41,57.02,43,3.36,83,TL
Dudinka,69.41,86.18,37.4,77,4.47,40,RU
Laureles,26.11,-97.49,79.0,88,9.17,20,US
Padang,-0.95,100.35,76.91,78,7.09,100,ID
Lata,40.16,-8.33,84.99,40,8.01,0,PT
São João da Barra,-21.64,-41.05,84.2,54,10.04,20,BR
Pontal do Paraná,-25.65,-48.51,82.4,39,10.29,78,BR
Caravelas,-17.71,-39.25,79.34,58,8.12,16,BR
Bethel,41.37,-73.41,75.99,33,6.93,1,US
Caxito,-8.58,13.66,71.6,88,6.93,75,AO
Yar-Sale,66.83,70.83,40.59,78,8.7,32,RU
Havre-St-Pierre,50.23,-63.6,57.2,71,20.8,1,CA
Madison,34.73,-86.57,84.0,39,10.29,75,US
Broome,42.25,-75.83,73.99,40,11.41,40,US
North Bend,43.41,-124.22,69.01,72,5.82,90,US
Łęczna,51.3,22.88,71.6,83,4.7,79,PL
Umluj,25.02,37.27,90.36,52,9.91,0,SA
Muravlenko,63.79,74.52,48.25,68,23.71,100,RU
Ust'-Omchug,61.15,149.63,45.37,86,3.24,100,RU
Orange,33.7,-117.77,96.01,48,5.32,20,US
Saldanha,-33.01,17.94,55.4,87,6.93,94,ZA
Shubarkuduk,49.14,56.49,63.07,30,8.32,0,KZ
Bambous Virieux,-20.34,57.76,69.8,83,12.75,75,MU
Batemans Bay,-35.72,150.18,49.08,82,2.89,40,AU
Mount Isa,-20.73,139.5,73.4,29,10.29,0,AU
Suffolk,40.87,-72.8,77.0,27,6.93,1,US
Gol,60.7,8.95,44.01,68,1.99,52,NO
Shingū,33.73,135.98,76.19,84,7.38,5,JP
Cururupu,-1.83,-44.87,85.64,61,7.02,97,BR
Bengkulu,-3.8,102.27,75.51,90,3.02,98,ID
Basco,20.45,121.97,82.44,71,8.12,49,PH
Sāveh,35.02,50.36,72.66,20,3.83,0,IR
Solnechnyy,50.72,136.63,57.96,87,5.39,74,RU
Kachug,53.96,105.88,53.94,83,8.63,96,RU
Kumul,42.8,93.45,76.28,21,15.01,0,CN
Okato,-39.2,173.88,54.21,85,11.61,100,NZ
Letnyaya Stavka,45.43,43.45,71.1,48,15.88,50,RU
Plouzané,48.38,-4.62,60.8,67,10.29,12,FR
Boa Vista,2.82,-60.67,91.4,49,12.75,40,BR
La Palma,33.85,-118.05,93.99,45,4.7,1,US
Barão de Melgaço,-16.19,-55.97,102.2,9,6.93,68,BR
Payyanur,12.1,75.2,80.6,88,2.24,40,IN
Tixpehual,20.98,-89.52,91.0,66,10.29,75,MX
Ulaangom,49.98,92.07,52.93,62,1.48,46,MN
Marawi,8.0,124.29,75.0,93,5.01,100,PH
Soyo,-6.13,12.37,73.18,85,11.21,7,AO
Ballina,-28.87,153.57,64.4,88,6.93,90,AU
Antofagasta,-23.65,-70.4,59.0,67,16.11,20,CL
Namtsy,62.72,129.67,48.2,76,8.95,25,RU
Quelimane,-17.88,36.89,73.4,64,4.7,20,MZ
Nishihara,26.18,127.76,80.6,100,27.51,90,JP
Laas,46.62,10.7,68.0,68,6.93,20,IT
Vestmannaeyjar,63.44,-20.27,51.8,66,12.75,10,IS
Carutapera,-1.2,-46.02,86.43,64,11.43,41,BR
Saint George,37.1,-113.58,95.0,12,4.7,1,US
Eyl,7.98,49.82,76.69,77,24.07,1,SO
Boddam,57.47,-1.78,55.4,66,6.93,99,GB
Gizo Government Station,-8.1,156.84,81.61,76,8.12,70,SB
Katobu,-4.94,122.53,74.19,94,3.04,84,ID
Port Augusta,-32.5,137.77,44.01,93,5.82,0,AU
Hasaki,35.73,140.83,77.0,94,13.87,75,JP
Nouadhibou,20.93,-17.03,84.2,54,13.87,52,MR
Maţāy,28.42,30.78,92.73,35,23.89,0,EG
Bikin,46.82,134.26,61.63,82,5.68,100,RU
Laguna,38.42,-121.42,89.01,37,3.36,5,US
Komsomol'skoye,55.26,47.55,53.24,75,5.73,90,RU
Maceió,-9.67,-35.74,80.6,61,13.87,40,BR
Ailigandí,9.23,-78.02,85.42,70,2.75,51,PA
Boguchany,58.38,97.45,43.48,90,3.8,100,RU
Hofn,64.25,-15.21,47.53,68,9.33,74,IS
Ritchie,-29.04,24.6,66.2,59,4.7,95,ZA
Road Town,18.42,-64.62,89.6,70,14.99,40,VG
Berlevåg,70.86,29.09,54.99,80,6.15,53,NO
Sitka,57.05,-135.33,50.0,87,4.7,20,US
Garissa,-0.45,39.64,78.08,58,22.15,33,KE
Villanueva de la Serena,38.98,-5.8,93.0,20,1.99,0,ES
Lavrentiya,65.58,-171.0,42.06,80,3.69,98,RU
Codrington,-38.27,141.97,42.06,94,8.19,12,AU
Kongolo,-5.38,27.0,83.98,28,2.53,0,CD
Ribeira Grande,38.52,-28.7,73.4,56,18.34,20,PT
College,64.86,-147.8,44.6,87,3.36,90,US
Whitehorse,60.72,-135.05,45.0,75,5.82,40,CA
Aksarka,66.56,67.8,42.31,81,3.31,32,RU
Coyhaique,-45.58,-72.07,48.2,58,3.36,75,CL
Chippewa Falls,44.94,-91.39,73.99,40,5.99,1,US
Los Llanos de Aridane,28.66,-17.92,77.0,69,3.36,75,ES
Amudat,1.95,34.95,73.9,64,3.83,40,UG
Pasni,25.26,63.47,81.16,84,12.66,0,PK
College Place,46.05,-118.39,84.0,36,5.82,1,US
Lüderitz,-26.65,15.16,60.87,66,26.44,0,NA
Oistins,13.07,-59.53,87.8,66,13.87,40,BB
Wattegama,6.8,81.48,78.28,78,5.55,100,LK
Tucupita,9.06,-62.05,88.27,65,4.72,6,VE
Birjand,32.87,59.22,71.6,14,11.25,0,IR
Paphos,34.77,32.42,80.6,83,8.05,20,CY
Aloleng,16.13,119.78,83.14,77,3.4,37,PH
San Jerónimo,-11.95,-75.28,62.24,37,3.71,45,PE
Kavieng,-2.57,150.8,82.31,78,13.65,36,PG
Svetlaya,46.54,138.33,65.43,68,2.93,97,RU
Riyadh,24.69,46.72,96.8,18,2.24,28,SA
Yakeshi,49.28,120.73,48.92,95,4.76,17,CN
Leningradskiy,69.38,178.42,34.3,89,4.97,59,RU
Maltahöhe,-24.83,16.98,66.33,26,12.12,28,NA
Slonim,53.09,25.32,61.45,86,6.76,73,BY
Watsa,3.04,29.54,66.79,98,4.83,100,CD
Lompoc,34.64,-120.46,69.8,64,4.7,1,US
Price,39.6,-110.81,82.4,12,4.7,1,US
Hong Kong,22.29,114.16,82.0,88,3.0,19,HK
Bilibino,68.05,166.44,29.26,92,2.93,6,RU
Bilimbay,56.97,59.81,42.8,100,2.24,5,RU
Kudahuvadhoo,2.67,72.89,79.29,83,33.82,100,MV
Sisimiut,66.94,-53.67,45.09,82,11.18,100,GL
Tarko-Sale,64.92,77.78,46.0,87,17.29,99,RU
Itoman,26.12,127.67,80.6,88,31.09,75,JP
Vardø,70.37,31.11,54.68,86,14.27,49,NO
Ormara,25.21,64.64,81.19,84,14.03,0,PK
Puerto Carreño,6.19,-67.49,77.0,88,4.7,40,CO
Rāzole,16.48,81.83,80.83,86,3.62,9,IN
Bonavista,48.65,-53.11,64.2,93,20.04,99,CA
Isheyevka,54.42,48.27,55.4,71,4.47,98,RU
Knysna,-34.04,23.05,57.2,82,9.17,40,ZA
Ko Samui,9.54,99.94,84.88,70,6.55,95,TH
Jalu,29.03,21.55,88.03,31,18.05,0,LY
Bandarbeyla,9.49,50.81,75.85,82,23.67,7,SO
Pavlodar,52.3,76.95,50.0,71,6.71,17,KZ
Kirakira,-10.45,161.92,79.32,83,11.7,91,SB
Singida,-4.82,34.75,67.37,51,10.51,29,TZ
Ende,-8.84,121.66,74.66,79,2.84,82,ID
Siniscola,40.57,9.69,80.6,44,5.82,0,IT
Johnstown,40.33,-78.92,71.01,40,11.41,1,US
Gaya,24.78,85.0,84.2,79,3.83,75,IN
Nālūt,30.33,10.85,92.64,16,4.05,78,LY
Narsaq,60.92,-46.05,48.2,93,4.5,75,GL
Tommot,58.96,126.29,51.1,89,1.43,88,RU
Belaya Gora,68.53,146.42,45.07,61,9.28,100,RU
Teya,60.38,92.63,40.08,90,4.88,45,RU
Japura,-0.32,102.35,72.52,93,1.83,100,ID
Dikson,73.51,80.55,41.92,89,18.86,13,RU
Russellville,35.28,-93.13,84.0,51,1.54,40,US
Panórama,40.59,23.03,81.0,61,2.24,0,GR
Saint-Louis,16.33,-15.0,93.2,56,12.3,75,SN
Panama City,8.99,-79.52,86.0,70,4.7,20,PA
Ramsar,36.92,50.64,75.2,83,2.24,0,IR
Kloulklubed,7.04,134.26,77.0,94,3.36,90,PW
Yeppoon,-23.13,150.73,64.4,88,4.7,97,AU
Grand Gaube,-20.01,57.66,68.0,78,1.99,2,MU
Ylivieska,64.08,24.55,60.01,83,4.0,20,FI
Adré,13.47,22.2,75.06,74,10.31,36,TD
Santiago del Estero,-27.8,-64.26,80.11,32,7.25,9,AR
Ürümqi,43.8,87.6,71.6,46,4.47,5,CN
Lagoa,39.05,-27.98,69.1,74,22.3,62,PT
Ladário,-19.0,-57.6,100.4,22,10.29,40,BR
Kurumkan,54.3,110.3,57.18,72,1.1,100,RU
Ambon City,-3.7,128.18,77.0,94,4.7,40,ID
Langham,52.37,-106.97,73.99,46,11.41,75,CA
Port Hedland,-20.32,118.57,66.2,93,6.93,69,AU
Palmer,42.16,-72.33,77.0,31,10.29,20,US
San Juan,-31.54,-68.54,65.73,27,11.99,0,AR
Palu,-0.89,119.87,75.88,80,2.42,95,ID
Haines Junction,60.75,-137.51,49.77,58,1.95,40,CA
Little Current,45.98,-81.92,66.2,42,11.41,1,CA
Dunda,-8.12,34.25,68.7,36,3.8,0,TZ
Blitar,-8.1,112.17,70.66,90,3.47,32,ID
Vilcún,-38.65,-72.23,57.99,66,2.24,20,CL
Thunder Bay,48.4,-89.32,66.0,45,11.41,20,CA
Mahébourg,-20.41,57.7,69.8,83,12.75,75,MU
Plettenberg Bay,-34.05,23.37,57.0,85,4.74,99,ZA
Tual,-5.67,132.75,79.54,82,19.71,41,ID
Dingle,11.0,122.67,77.16,90,2.48,98,PH
Tambacounda,13.75,-13.76,82.4,83,2.24,40,SN
Atar,20.52,-13.05,102.96,22,2.95,61,MR
Ruteng,-8.61,120.47,61.7,100,2.51,80,ID
Alexandria,31.22,29.96,79.83,68,15.23,0,EG
Vila Franca do Campo,37.72,-25.43,73.4,53,16.11,20,PT
Bathsheba,13.22,-59.52,87.8,66,13.87,40,BB
Saharsa,25.88,86.6,86.49,67,4.07,60,IN
Sørland,67.67,12.69,53.49,87,8.32,100,NO
Beira,-19.84,34.84,71.6,73,13.87,20,MZ
Jaciara,-15.97,-54.97,102.15,11,7.94,48,BR
Saint-Joseph,-21.37,55.62,66.2,88,10.29,75,RE
Karwar,14.8,74.13,80.67,87,2.04,37,IN
Rio de Janeiro,-22.9,-43.21,84.2,78,10.29,44,BR
Barra de Tecoanapa,16.52,-98.75,85.5,67,7.87,34,MX
Pizarro,4.95,-77.37,81.37,82,9.6,63,CO
Lishan,31.86,113.3,75.04,72,2.04,97,CN
Nombre de Dios,23.85,-104.23,71.6,60,6.93,90,MX
Akdağmadeni,39.66,35.88,61.12,81,4.32,7,TR
Constitución,-35.33,-72.42,55.83,71,10.83,74,CL
Samaná,19.21,-69.34,84.2,74,6.93,40,DO
Port-Gentil,-0.72,8.78,77.0,78,12.57,20,GA
Kargasok,59.06,80.86,44.04,97,5.64,100,RU
San Patricio,19.22,-104.7,82.4,78,11.41,90,MX
Wilmington,34.23,-77.94,90.0,55,11.41,40,US
Partenit,44.58,34.34,69.87,74,7.61,97,UA
Naze,28.37,129.48,78.8,100,35.57,75,JP
Margate,51.38,1.39,63.0,79,4.0,56,GB
Isiro,2.77,27.62,69.57,90,1.45,100,CD
Aramil,56.7,60.84,42.8,100,3.29,5,RU
Russell,32.35,-85.2,93.2,31,5.82,1,US
Aksu,41.12,80.26,73.87,27,6.71,0,CN
Kieta,-6.22,155.63,79.05,77,4.7,97,PG
Kandi,11.13,2.94,73.38,93,6.22,99,BJ
Eilat,29.56,34.95,105.8,28,11.14,20,IL
Paso de los Toros,-32.82,-56.52,62.71,70,15.17,68,UY
Gaoual,11.75,-13.2,75.49,92,5.86,99,GN
Oranjemund,-28.55,16.43,57.88,83,18.39,0,NA
Safaga,26.73,33.94,90.36,46,1.41,0,EG
Senanga,-16.12,23.27,71.33,22,4.72,0,ZM
Katherine,-14.47,132.27,69.8,37,5.82,37,AU
Puerto López,4.08,-72.96,88.27,60,2.26,23,CO
Samarai,-10.62,150.67,78.12,86,10.4,93,PG
Sept-Îles,50.2,-66.38,64.4,48,13.87,40,CA
Chilca,-12.52,-76.74,62.6,72,4.7,90,PE
Talnakh,69.49,88.4,37.4,72,4.47,40,RU
Villarrubia de los Ojos,39.22,-3.61,91.99,11,3.27,0,ES
Eureka,40.8,-124.16,68.0,72,8.97,1,US
Beaverlodge,55.22,-119.44,55.4,93,9.17,90,CA
Saint-Augustin,51.23,-58.65,69.17,40,20.24,16,CA
Zyryanovsk,49.74,84.27,42.57,65,0.83,67,KZ
Miyako,39.64,141.95,68.61,87,3.42,20,JP
Uyskoye,54.38,60.0,45.63,88,4.99,0,RU
Gmina Końskie,51.19,20.41,72.0,1,7.49,99,PL
Praia,14.92,-23.51,75.2,88,17.22,75,CV
Xining,36.62,101.77,51.84,71,1.45,87,CN
Wake Forest,35.98,-78.51,82.99,50,5.99,24,US
Bridlington,54.08,-0.19,60.8,63,10.29,88,GB
Wageningen,51.97,5.67,61.0,63,6.93,90,NL
Oussouye,12.48,-16.55,82.4,88,9.17,40,SN
Shanhecun,44.7,127.2,63.05,78,7.31,86,CN
Asău,46.43,26.4,62.01,83,3.67,34,RO
Mount Gambier,-37.83,140.77,41.0,100,5.82,75,AU
Tazovsky,67.47,78.7,43.12,79,15.01,49,RU
Bac Lieu,9.29,105.72,81.79,80,7.4,97,VN
Banjar,-8.19,114.97,78.8,100,4.7,20,ID
Kondinskoye,59.65,67.41,43.79,82,8.23,0,RU
Minna,9.61,6.56,74.89,93,5.68,83,NG
Scottsbluff,41.87,-103.67,98.01,34,3.36,1,US
Riverton,40.52,-111.94,90.0,19,10.29,1,US
Mumford,5.26,-0.76,75.65,83,13.13,50,GH
Karakol,42.49,78.39,54.86,49,1.79,0,KG
Port Lincoln,-34.73,135.87,53.15,83,8.7,31,AU
Vostok,46.49,135.88,58.66,70,1.66,100,RU
Srednekolymsk,67.45,153.68,41.83,66,9.73,11,RU
Laï,9.4,16.3,77.09,85,2.93,42,TD
Kibaya,-5.3,36.57,59.41,80,7.54,43,TZ
Gaza,31.5,34.47,86.0,100,1.99,0,PS
Muscat,23.61,58.59,87.8,74,5.82,0,OM
La Unión,-5.4,-80.75,81.93,36,12.28,1,PE
Ugoofaaru,5.67,73.0,81.9,80,21.3,91,MV
Kenora,49.82,-94.43,64.4,45,8.05,40,CA
San Cristobal,7.77,-72.22,91.4,43,9.17,20,VE
Brae,60.4,-1.35,51.8,76,24.16,94,GB
Tuatapere,-46.13,167.68,45.0,72,11.01,50,NZ
Severobaykal'sk,55.65,109.32,54.07,74,2.17,100,RU
Collie,-33.37,116.15,63.0,71,12.44,65,AU
Dukat,62.55,155.55,35.02,95,7.14,86,RU
Adrar,20.5,-10.07,100.15,22,16.46,83,MR
Murgab,37.5,61.97,78.8,26,9.17,0,TM
Pontes e Lacerda,-15.23,-59.34,105.94,12,6.82,65,BR
